course_name,course_credits,course_uni,course_location,application_status,initial_tuition_fee,total_tuition_fee,period,course_dates,level,language_of_instruction,application_code,teaching_form,meetings,pace_of_study,instructional_time,location,subject_areas,top_level_subjects,course_starts,link
Tellus I - Physical Geography,15,Stockholm University,Varied,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-58299,"Course, Distance",0,Full-time,Daytime,Varied,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GE2020/en?eventident=58299&semester=20234
Tellus I - Physical Geography,15,Stockholm University,Varied,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-58275,"Course, Distance",0,Half-time,Daytime,Varied,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GE2020/en?eventident=58275&semester=20234
Tellus II - Geology,12.5,Stockholm University,Stockholm,Open for late application,29167,29167,Autumn 2023 Period 2,28 Aug - 29 Oct,Bachelor's,English,SU-59479,"Course, Distance",1,Full-time,Daytime,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG4039/en?eventident=59479&semester=20234
Tellus II - Geology,12.5,Stockholm University,Stockholm,Open for late application,29167,29167,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-59478,"Course, Distance",1,Half-time,Daytime,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG4039/en?eventident=59478&semester=20234
Tellus II - Physical Geography,12.5,Stockholm University,Varied,Open for late application,29167,29167,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-58295,"Course, Distance",0,Half-time,Daytime,Varied,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GE4023/en?eventident=58295&semester=20234
Tellus II - Physical Geography,12.5,Stockholm University,Varied,Open for late application,29167,29167,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,SU-58297,"Course, Distance",0,Full-time,Daytime,Varied,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GE4023/en?eventident=58297&semester=20234
Term package Bioinformatics,30,Swedish University of Agricultural Sciences,Uppsala,Open for late application,Information not available,Information not available,Autumn 2023 Period 1,,Master's,English,SLU-71008,"Course, On-campus",,Full-time,Daytime,Uppsala,,,28 Aug,https://www.slu.se/en/departments/animalgenetics/education/course-package-bioinformatics/
"Terrorism, Violence and Religion, basic course",7.5,Linköping University,Linköping,Open for late application,8745,8745,Autumn 2023 Period 2,30 Oct - 3 Dec,Bachelor's,English,LIU-4Z324,"Course, On-campus",,Full-time,Daytime,Linköping,"History of Religions, Religious Studies",Religious Studies | Humanities,,https://liu.se/en/education/course/790g86
"Terrorism, Violence and Religion, basic course",7.5,Linköping University,Linköping,Open for late application,8745,8745,Autumn 2023 Period 2,30 Oct - 3 Dec,Bachelor's,English,LIU-4Z307,"Course, On-campus",,Full-time,Daytime,Linköping,"History of Religions, Religious Studies",Religious Studies | Humanities,,https://liu.se/utbildning/kurs/790g87
"Testing, Debugging and Verification",7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,18625,18625,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,GU-18607,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Science,Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/DIT084
Text Mining,6,Linköping University,Linköping,Open for late application,11598,11598,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,LIU-45004,"Course, On-campus",,Half-time,Daytime,Linköping,"Computer Science and Engineering, Global Health, Statistics",Health and Medical Care | Computer Science and Engineering | Social Science and Behavioural Science | Mathematics,,https://liu.se/en/education/course/732A81
Textile Design,180,University of Borås,Borås,Closed for late application,133100,798600,Autumn 2023 Period 1,,Bachelor's,English,HB-3208A,"Programme, On-campus",,Full-time,Daytime,Borås,Design,"Arts, Design and Media",28 Aug,http://www.hb.se/en/The-Swedish-School-of-Textiles/International-student/Application-for-the-master-programme-in-fashion-and-textile-design/Application-for-the-Textile-Design-Programme/
Textile Fibres - From production to recycling,7.5,University of Borås,Varied,"
Application period not open
",13800,13800,Autumn 2023 Period 1,,Bachelor's,English,HB-40632,"Course, Distance",0,Half-time,Mixed-time,Varied,Textile Technology,"Materials, Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/40632/en
Textile Fibres - From production to recycling,7.5,University of Borås,Varied,Open for late application,13800,13800,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HB-11032,"Course, Distance",0,Half-time,Mixed-time,Varied,Textile Technology,"Materials, Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/11032/en
Textile Innovation,7.5,University of Borås,Varied,Open for late application,13800,13800,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HB-13032,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,"Materials, Construction and Manufacturing, Textile Studies, Textile Technology","Arts, Design and Media | Humanities | Materials, Construction and Manufacturing | Materials | Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/13032/en
Textile Overview Assembly techniques,3,University of Borås,Varied,"
Application period not open
",5700,5700,Autumn 2023 Period 1,,Bachelor's,English,HB-40532,"Course, Distance",0,10%,Mixed-time,Varied,"Technology, Textile Technology","Materials, Construction and Manufacturing | Technology",,https://www.hb.se/redirect/antagning/20232/40532/en
Textile Overview Assembly techniques,3,University of Borås,Varied,Open for late application,5700,5700,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HB-12032,"Course, Distance",0,10%,Mixed-time,Varied,"Technology, Textile Technology","Materials, Construction and Manufacturing | Technology",,https://www.hb.se/redirect/antagning/20232/12032/en
Textile Overview Dyeing and finishing,3,University of Borås,Varied,"
Application period not open
",5700,5700,Autumn 2023 Period 1,,Bachelor's,English,HB-40432,"Course, Distance",0,10%,Mixed-time,Varied,"Materials, Construction and Manufacturing, Materials Technology, Technology, Textile Technology","Materials | Technology | Construction and Manufacturing | Materials, Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/40432/en
Textile Overview Dyeing and finishing,3,University of Borås,Varied,Open for late application,5700,5700,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HB-11932,"Course, Distance",0,10%,Mixed-time,Varied,"Materials, Construction and Manufacturing, Materials Technology, Technology, Textile Technology","Materials | Technology | Construction and Manufacturing | Materials, Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/11932/en
Textile Overview Fibre and yarn technology,3,University of Borås,Varied,"
Application period not open
",5700,5700,Autumn 2023 Period 1,,Bachelor's,English,HB-40332,"Course, Distance",0,10%,Mixed-time,Varied,"Technology, Textile Technology","Materials, Construction and Manufacturing | Technology",,https://www.hb.se/redirect/antagning/20232/40332/en
Textile Overview Fibre and yarn technology,3,University of Borås,Varied,Open for late application,5700,5700,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HB-11832,"Course, Distance",0,17%,Mixed-time,Varied,"Technology, Textile Technology","Materials, Construction and Manufacturing | Technology",,https://www.hb.se/redirect/antagning/20232/11832/en
Textile Overview - Knitting Technology,3,University of Borås,Varied,"
Application period not open
",5700,5700,Autumn 2023 Period 1,,Bachelor's,English,HB-40132,"Course, Distance",0,10%,Mixed-time,Varied,"Technology, Textile Technology","Materials, Construction and Manufacturing | Technology",,https://www.hb.se/redirect/antagning/20232/40132/en
Textile Overview - Knitting Technology,3,University of Borås,Varied,Open for late application,5700,5700,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HB-11632,"Course, Distance",0,10%,Mixed-time,Varied,"Technology, Textile Technology","Materials, Construction and Manufacturing | Technology",,https://www.hb.se/redirect/antagning/20232/11632/en
Textile Overview - Weaving Technology,3,University of Borås,Varied,"
Application period not open
",5700,5700,Autumn 2023 Period 1,,Bachelor's,English,HB-40232,"Course, Distance",0,10%,Mixed-time,Varied,"Materials, Construction and Manufacturing, Technology, Textile Technology","Materials | Technology | Construction and Manufacturing | Materials, Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/40232/en
Textile Overview - Weaving Technology,3,University of Borås,Varied,Open for late application,5700,5700,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HB-11732,"Course, Distance",0,10%,Mixed-time,Varied,"Materials, Construction and Manufacturing, Technology, Textile Technology","Materials | Technology | Construction and Manufacturing | Materials, Construction and Manufacturing",,https://www.hb.se/redirect/antagning/20232/11732/en
Textiles in Contexts,7.5,University of Borås,Varied,Closed for late application,7400,7400,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HB-12432,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,"History of Science and Ideas, Product Development, Social Science, Textile Studies","Arts, Design and Media | Technology | Humanities | Social Science and Behavioural Science",,https://www.hb.se/redirect/antagning/20232/12432/en
Texts and Crises,7.5,Södertörn University,Varied,Open for late application,11498,11498,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SH-42147,"Course, Distance",0,Half-time,Daytime,Varied,English,Languages,,https://sh.se/study?code=EN001A&lang=en
The Arabic grammatical tradition,7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,Swedish,GU-13854,"Course, Distance",0,Half-time,Mixed-time,Varied,Arabic,Languages,,https://www.gu.se/en/study-gothenburg/AR2206
The Bible in Jewish and Christian Relations,7.5,University of Gothenburg,Göteborg,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-12380,"Course, On-campus",,Half-time,Daytime,Göteborg,Religious Studies,Religious Studies,,https://www.gu.se/en/study-gothenburg/RT2519
The Bible in Jewish and Christian Relations,7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-12389,"Course, Distance",0,Half-time,Mixed-time,Varied,Religious Studies,Religious Studies,,https://www.gu.se/en/study-gothenburg/RT2519
The Church as Polis,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,EHS-OE410,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-church-as-polis-5oe410/?preview=true
"The Church as Polis, Distance Education",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,EHS-OE420,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-church-as-polis-distance-education-5oe420/?preview=true
"The Contemporary Coming-of-Age Novel in English: Female, Ethnic and Ageing Perspectives",7.5,Dalarna University,Falun,Closed for late application,10875,10875,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3FLF,"Course, Distance",7,Half-time,Daytime,Falun,"English, Languages",Languages,,http://www.du.se/redirect/course.aspx?language=en&code=EN2038&applicationcode=H3FLF
The contemporary French Novel,7.5,Stockholm University,Varied,Closed for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,French,SU-07893,"Course, Distance",0,Half-time,Daytime,Varied,French,Languages,,https://sisu.it.su.se/search/info/FR761Z/en?eventident=07893&semester=20234
The contemporary French Novel,7.5,Stockholm University,Varied,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,French,SU-07954,"Course, Distance",0,Half-time,Daytime,Varied,French,Languages,,https://sisu.it.su.se/search/info/FR761Z/en?eventident=07954&semester=20234
The Early Church,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OT130,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/?post_type=course&p=26526&preview=true
"The Early Church, Distance Education",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OT140,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/?post_type=course&p=26532&preview=true
The Economics and Organization of Journalism,7.5,Stockholm University,Stockholm,Open for late application,15625,15625,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-18219,"Course, On-campus",,Half-time,Daytime,Stockholm,Journalism,"Journalism, Communication and Information",,https://sisu.it.su.se/search/info/JO7071/en?eventident=18219&semester=20234
The Economics of Sustainable Development,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,27500,27500,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,SLU-20185,"Course, On-campus",,Full-time,Daytime,Uppsala,Business Administration and Economics,Business Administration and Economics,,https://www.slu.se/en/education/programmes-courses/course/51bc8d05-58a6-11ed-a806-5f53db194482
The Emergence of European Culture,7.5,Lund University,Lund,Closed for late application,13750,13750,Autumn 2023 Period 1,23 Oct - 17 Dec,Bachelor's,English,LU-E1017,"Course, On-campus",,Half-time,Daytime,Lund,Archaeology,Humanities,,http://www.lunduniversity.lu.se/lubas/i-uoh-lu-SASH85/E1017
The Emergence of National Literatures in Romance Languages,7.5,Stockholm University,Varied,Open for late application,11250,11250,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-07037,"Course, Distance",0,Half-time,Daytime,Varied,Comparative Literature,Humanities,,https://sisu.it.su.se/search/info/RS71UN/en?eventident=07037&semester=20234
The Environment and Human Rights,7.5,Malmö University,Malmö,Closed for late application,12000,12000,Autumn 2023 Period 1,2 Oct - 5 Nov,Bachelor's,English,MAU-31107,"Course, On-campus",,Full-time,Daytime,Malmö,"Environmental Science, Care and Protection, Human Rights",Care and Protection | Environmental Science | Social Science and Behavioural Science,,https://mau.se/en/study-education/course/MR227L
The Ergonomics of Music Making and Learning I,7.5,Karlstad University,Arvika,Open for late application,37500,37500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,KAU-43020,"Course, On-campus",,One-quarter-time,Daytime,Arvika,Music,"Arts, Design and Media",,http://www.kau.se/en/education/programmes-and-courses/courses/MIGIE1?occasion=43020
The Ergonomics of Music Making and Learning II,7.5,Karlstad University,Arvika,Open for late application,37500,37500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,KAU-43022,"Course, On-campus",,One-quarter-time,Daytime,Arvika,Music,"Arts, Design and Media",,http://www.kau.se/en/education/programmes-and-courses/courses/MIGIE2?occasion=43022
The Ergonomics of Music Making and Learning III,15,Karlstad University,Arvika,Open for late application,75000,75000,Autumn 2023 Period 1,,Bachelor's,English,KAU-43024,"Course, On-campus",,One-quarter-time,Daytime,Arvika,Music,"Arts, Design and Media",28 Aug,http://www.kau.se/en/education/programmes-and-courses/courses/MIGIE3?occasion=43024
The Finite Element Method,7.5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,19300,19300,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,LNU-F2020,"Course, On-campus",,Half-time,Daytime,Växjö,"Mechanical Engineering, Solid Mechanics",Technology,,https://lnu.se/en/course/4MT003/20232/F2020
The Geoscientific Method,7.5,Stockholm University,Stockholm,Closed for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,SU-59453,"Course, On-campus",,Full-time,Daytime,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG7007/en?eventident=59453&semester=20234
The Global Teacher,7.5,University of Gothenburg,Göteborg,Open for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,GU-19203,"Course, On-campus",,Half-time,Afternoon,Göteborg,Educational Sciences/Didactics,Education/Educational Sciences/Didactics,,https://www.gu.se/en/study-gothenburg/PDG458
"The Gospel and the Letters of Paul, Eastern Christian Non-linguistic Version, 7,5 hp",7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OB127,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-gospels-and-the-letters-of-paul-eastern-christian-non-linguistic-version-5ob217/?preview=true
"The Gospel and the Letters of Paul, Eastern Christian Non-linguistic Version, 7,5 hp, Distance",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OB227,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-gospel-and-the-letters-of-paul-eastern-christian-non-linguistic-version-75-hp-distance-5ob227/?preview=true
"The Gospels and the Letters of Paul, Eastern Christian Linguistic Version",7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OB218,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-gospels-and-the-letters-of-paul-eastern-christian-linguistic-version-5ob218/?preview=true
"The Gospels and the Letters of Paul, Eastern Christian Linguistic Version, 7,5 hp, Distance",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,EHS-OB228,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-gospels-and-the-letters-of-paul-eastern-christian-linguistic-version-distance-5ob228/?preview=true
The Great Divergence: Historical patterns of modern economic growth,7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,10875,10875,Autumn 2023 Period 2,30 Oct - 3 Dec,Master's,English,GU-18351,"Course, On-campus",,Full-time,Daytime,Göteborg,Economic History,Humanities | Business Administration and Economics | Social Science and Behavioural Science,,https://www.gu.se/en/study-gothenburg/EHA126
The Handmaid's Tale as Dystopian Diagnostics: Reading Global Politics Through Popular Culture,7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,GU-17223,"Course, Distance",0,Half-time,Mixed-time,Varied,Global Studies,Social Science and Behavioural Science,,https://www.gu.se/en/study-gothenburg/GS1613
The History of British and American Literature and Ideas,15,Dalarna University,Falun,Open for late application,21750,21750,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HDA-H3FL2,"Course, Distance",15,Half-time,Daytime,Falun,"English, Languages",Languages,,http://www.du.se/redirect/course.aspx?language=en&code=EN1130&applicationcode=H3FL2
The History of Scandinavia from Pre-history to modern times,15,University of Gothenburg,Göteborg,Open for late application,22250,22250,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,GU-12032,"Course, On-campus",,Half-time,Daytime,Göteborg,History,Humanities,,https://www.gu.se/en/study-gothenburg/HI1480
The Housing Issue in the 21st Century,30,Malmö University,Malmö,Cancelled,46000,46000,Autumn 2023 Period 1,,Bachelor's,English,MAU-34021,"Course, Distance",,Half-time,Daytime,Malmö,Social Science and Behavioural Science,Social Science and Behavioural Science,28 Aug,https://mau.se/en/study-education/course/FF201E
"The Ideal of Human Rights: Historical, Philosophical and Political Aspects",7.5,Dalarna University,Falun,Closed for late application,10875,10875,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3EZW,"Course, Distance",5,Half-time,Daytime,Falun,"Ethics, History, Human Rights, Political Science, Practical Philosophy, Sociology",Religious Studies | Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=RK2034&applicationcode=H3EZW
The Imaginary and the Actual: Possible Worlds and Fictional Worlds,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-19628,"Course, On-campus",,Half-time,Daytime,Stockholm,English,Languages,,https://sisu.it.su.se/search/info/ENPW75/en?eventident=19628&semester=20234
The international context and the politics of peace and development,7.5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,13750,13750,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,LNU-F1978,"Course, On-campus",,Full-time,Daytime,Växjö,"Global Studies, Peace and Development Studies",Social Science and Behavioural Science,,https://lnu.se/en/course/4FU415/20232/F1978
The Lost Republic: Crisis and Continuity in the Late Roman Republic (146-46 BC),7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 3 Dec,Bachelor's,English,GU-12012,"Course, On-campus",,Full-time,Daytime,Göteborg,Classical Archaeology and Ancient History,Humanities,,https://www.gu.se/en/study-gothenburg/AN1046
The Marketing Programme,180,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,61000,342800,Autumn 2023 Period 1,,Bachelor's,English,LNU-F1963,"Programme, On-campus",,Full-time,Daytime,Växjö,Marketing,Business Administration and Economics,28 Aug,https://lnu.se/en/programme/EGTMP/20232/F1963
The Master's Programme Sustainable Food Systems,120,Swedish University of Agricultural Sciences,Uppsala,Closed and will not be opened for late application,62500,250000,Autumn 2023 Period 1,,Master's,English,SLU-81002,"Programme, On-campus",,Full-time,Daytime,Uppsala,"Food Science, Marketing, Product Development, Soil Science","Natural Science | Agriculture, Horticulture, Forestry and Fishery | Technology | Business Administration and Economics | Materials, Construction and Manufacturing",28 Aug,https://www.slu.se/en/education/programmes-courses/masters-programmes/sustainable-food-systems/
The Nuclear Fuel Cycle,6,KTH Royal Institute of Technology,Stockholm,Open for late application,15500,15500,Autumn 2023 Period 1,28 Aug - 21 Jan,Master's,English,KTH-50197,"Course, On-campus",,17%,Daytime,Stockholm,Engineering Physics,Technology,,https://www.kth.se/student/kurser/kurs/SH2614?startterm=20232&l=en
The Origins and History of Islam 600-1500 CE,7.5,Linköping University,Norrköping,Open for late application,8745,8745,Autumn 2023 Period 1,21 Aug - 29 Oct,Bachelor's,English,LIU-44346,"Course, On-campus",,Half-time,Daytime,Norrköping,"African Studies, Egyptology, Humanities, Islamology, Middle East Studies, Religious Studies, Social Science and Behavioural Science",Religious Studies | Humanities | Social Science and Behavioural Science,,https://liu.se/en/education/course/703G24
The Performance of Democracies,15,University of Gothenburg,Göteborg,Closed and will not be opened for late application,22250,22250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-17651,"Course, On-campus",,Full-time,Daytime,Göteborg,Political Science,Social Science and Behavioural Science,,https://www.gu.se/en/study-gothenburg/SK2211
"The Phantasm of Modernism: China and Japan in Literature, Film, Art and Critical Theory",7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-13452,"Course, Distance",0,Half-time,Daytime,Varied,Chinese,Languages,,https://www.gu.se/en/study-gothenburg/KI2103
The Physics of the Interstellar Medium,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-46521,"Course, On-campus",,Half-time,Daytime,Stockholm,Astronomy,Natural Science,,https://sisu.it.su.se/search/info/AS7001/en?eventident=46521&semester=20234
The Politics and Economics of International Relations,7.5,Linköping University,Linköping,Open for late application,8745,8745,Autumn 2023 Period 2,30 Oct - 3 Dec,Master's,English,LIU-46587,"Course, On-campus",,Full-time,Daytime,Linköping,"Peace and Development Studies, Political Science",Social Science and Behavioural Science,,https://liu.se/en/education/course/733a72
The Premodern history of China,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-28783,"Course, On-campus",,Half-time,Daytime,Stockholm,Chinese,Languages,,https://sisu.it.su.se/search/info/KI1325/en?eventident=28783&semester=20234
The problem of consciousness: Philosophical and empirical aspects,7.5,Umeå University,Umeå,Closed and will not be opened for late application,11625,11625,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-F1700,"Course, On-campus",,Half-time,Daytime,Umeå,Philosophy and Logic,Humanities,,http://www.umu.se/english/education/courses-and-programmes/course?code=1FL119
The problem of consciousness: Philosophical and empirical aspects,7.5,Umeå University,Umeå,Open for late application,11625,11625,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-17004,"Course, On-campus",,Half-time,Daytime,Umeå,Philosophy and Logic,Humanities,,http://www.umu.se/english/education/courses-and-programmes/course?code=1FL119
The Relations Between North and South Korea,7.5,Stockholm University,Varied,Open for late application,11250,11250,Autumn 2023 Period 1,25 Sept - 24 Dec,Bachelor's,English,SU-28795,"Course, Distance",0,One-quarter-time,Daytime,Varied,Korean,Languages,,https://sisu.it.su.se/search/info/JKB911/en?eventident=28795&semester=20234
The Right to Life and Modern Conceptions of Life,7.5,Malmö University,Malmö,Closed for late application,12000,12000,Autumn 2023 Period 2,6 Nov - 10 Dec,Bachelor's,English,MAU-31793,"Course, On-campus",,Full-time,Daytime,Malmö,"Human Rights, Social Science and Behavioural Science",Social Science and Behavioural Science,,https://mau.se/en/study-education/course/MR225L
The Roman Empire,7.5,Lund University,Lund,Closed for late application,13750,13750,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,LU-E1009,"Course, On-campus",,Half-time,Daytime,Lund,Classical Archaeology and Ancient History,Humanities,,http://www.lunduniversity.lu.se/lubas/i-uoh-lu-SASH39/E1009
The Scriptures and Eastern Christianity,7.5,University College Stockholm,Södertälje,Open for late application,10000,10000,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,EHS-OB410,"Course, On-campus",,Half-time,Daytime,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-scriptures-and-eastern-christianity-5ob410/?preview=true
"The Scriptures and Eastern Christianity, Distance Education",7.5,University College Stockholm,Södertälje,Open for late application,5000,5000,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,EHS-OB420,"Course, Distance",,Half-time,Mixed-time,Södertälje,Religious Studies,Religious Studies,,https://ehs.se/kurser/ht-2023-2024-the-scriptures-and-eastern-christianity-distance-education-5ob420/?preview=true
"The Sea and Society Relationship; Historical Perspectives, Present Status and Future Challenges",15,University of Gothenburg,Göteborg,Closed and will not be opened for late application,31000,31000,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-11554,"Course, On-campus",,Full-time,Daytime,Göteborg,Marine Geology,Natural Science,,https://www.gu.se/en/study-gothenburg/MAR461
"The Sea, Introductory Course",7.5,Stockholm University,Stockholm,Closed and will not be opened for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-59474,"Course, On-campus",,One-quarter-time,Evening,Stockholm,Earth Science,Natural Science,,https://sisu.it.su.se/search/info/GG1005/en?eventident=59474&semester=20234
The Security Politics of the Nordic Countries,10,Swedish Defence University,Stockholm,Closed for late application,15000,15000,Autumn 2023 Period 1,28 Aug - 8 Oct,Bachelor's,English,FHS-23212,"Course, On-campus",,Full-time,Daytime,Stockholm,"Political Science, Social Science and Behavioural Science",Social Science and Behavioural Science,,https://www.fhs.se/en/swedish-defence-university/courses/the-security-politics-of-the-nordic-countries.html
"The Sociology of the Ageing Society An introduction to the social, cultural, and economic analysis of ageing and social change",7.5,Linköping University,Varied,Open for late application,8745,8745,Autumn 2023 Period 1,28 Aug - 1 Oct,Bachelor's,English,LIU-4Z223,"Course, Distance",0,Full-time,Daytime,Varied,Social Science and Behavioural Science,Social Science and Behavioural Science,,https://liu.se/en/education/course/755g03
"The Sociology of the Ageing Society An introduction to the social, cultural, and economic analysis of ageing and social change",7.5,Linköping University,Norrköping,Open for late application,8745,8745,Autumn 2023 Period 1,28 Aug - 1 Oct,Bachelor's,English,LIU-4Z226,"Course, On-campus",,Full-time,Daytime,Norrköping,Social Science and Behavioural Science,Social Science and Behavioural Science,,https://liu.se/en/education/course/755g03
