subject_areas,Top_Level_Subjects
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
"Engineering Physics, Physics","['Technology', 'Natural Science']"
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Mechanical Engineering,['Technology']
"Materials, Construction and Manufacturing, Materials Technology, Natural Science, Product Development, Technology","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Materials', 'Construction and Manufacturing']"
Chemistry,['Natural Science']
"Chemical Engineering , Chemistry, Inorganic Chemistry, Materials Chemistry, Nanomaterials, Organic Chemistry, Polymer Chemistry","['Materials, Construction and Manufacturing', 'Technology', 'Natural Science']"
,['']
"Materials, Construction and Manufacturing, Materials Technology","['Materials', 'Construction and Manufacturing', 'Materials, Construction and Manufacturing']"
"Innovation Technology, Material Physics, Materials, Construction and Manufacturing, Materials Chemistry, Materials Technology, Mechanical Engineering, Nanomaterials","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Materials', 'Construction and Manufacturing']"
Materials Technology,"['Materials, Construction and Manufacturing']"
Physics,['Natural Science']
Physics,['Natural Science']
Mathematics,['Mathematics']
Economics,['Business Administration and Economics']
"Mathematics , Physics","['Natural Science', 'Mathematics']"
"Mathematics , Physics","['Natural Science', 'Mathematics']"
Physics,['Natural Science']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
"Finance, Mathematical Statistics, Mathematics , Numerical Analysis","['Business Administration and Economics', 'Mathematics']"
"Finance, Mathematical Statistics, Mathematics , Numerical Analysis","['Business Administration and Economics', 'Mathematics']"
"Mathematics , Statistics","['Social Science and Behavioural Science', 'Mathematics']"
Mathematical Statistics,['Mathematics']
Mathematics,['Mathematics']
"Computer Science and Engineering, Mathematics , Natural Science","['Natural Science', 'Computer Science and Engineering', 'Mathematics']"
"Computer Science and Engineering, Mathematics , Natural Science","['Natural Science', 'Computer Science and Engineering', 'Mathematics']"
"Computer Science and Engineering, Mathematics , Natural Science","['Natural Science', 'Computer Science and Engineering', 'Mathematics']"
Mathematics,['Mathematics']
Economics,['Business Administration and Economics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Mathematics,['Mathematics']
Mathematics,['Mathematics']
"Computational Science, Computer Science, Information Technology, Numerical Analysis, Physics","['Natural Science', 'Technology', 'Computer Science and Engineering', 'Mathematics']"
"Business Administration and Economics, International Business Management",['Business Administration and Economics']
"Mechanical Engineering, Technology",['Technology']
Materials Technology,"['Materials, Construction and Manufacturing']"
Chemical Engineering,['Technology']
"Automatic Control, Electronics, Mechanics, Robotics","['Technology', 'Computer Science and Engineering']"
"Arts, Design and Media, Journalism, Communication and Information, Media and Communications Studies, Media Production","['Arts, Design and Media', 'Communication and Information', 'Arts', 'Journalism, Communication and Information', 'Design and Media']"
"Arts, Design and Media, Journalism, Communication and Information, Media and Communications Studies, Media Production","['Arts, Design and Media', 'Communication and Information', 'Arts', 'Journalism, Communication and Information', 'Design and Media']"
"Arts, Design and Media, Media and Communications Studies, Media Production","['Arts, Design and Media', 'Arts', 'Journalism, Communication and Information', 'Design and Media']"
"Arts, Design and Media, Media and Communications Studies, Media Production","['Arts, Design and Media', 'Arts', 'Journalism, Communication and Information', 'Design and Media']"
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Media and Communications Studies,"['Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Comparative Literature,['Humanities']
Film Studies,"['Arts, Design and Media', 'Humanities']"
"Innovation Technology, Media and Communications Studies, Media Technology, Project Management, Technology in a Social Perspective","['Arts, Design and Media', 'Technology', 'Business Administration and Economics', 'Journalism, Communication and Information', 'Health and Medical Care', 'Social Science and Behavioural Science']"
Media and Communications Studies,"['Journalism, Communication and Information']"
"Arts, Design and Media, Humanities, Journalism, Communication and Information, Social Science and Behavioural Science","['Communication and Information', 'Humanities', 'Arts', 'Journalism, Communication and Information', 'Design and Media', 'Social Science and Behavioural Science']"
"Arts, Design and Media, Humanities, Journalism, Communication and Information, Social Science and Behavioural Science","['Communication and Information', 'Humanities', 'Arts', 'Journalism, Communication and Information', 'Design and Media', 'Social Science and Behavioural Science']"
Medical Technology,"['Health and Medical Care', 'Technology']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Technology,['Technology']
Medical Technology,"['Health and Medical Care', 'Technology']"
Medical Technologies,['Health and Medical Care']
Electrical Engineering,['Technology']
Medical Technology,"['Health and Medical Care', 'Technology']"
Health and Medical Care,['Health and Medical Care']
"Medical Technology, Medicine","['Health and Medical Care', 'Technology']"
"Humanities, Social Anthropology, Social Science and Behavioural Science","['Humanities', 'Social Science and Behavioural Science']"
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Meteorology,['Natural Science']
Crafts,"['Arts, Design and Media']"
Materials Technology,"['Materials, Construction and Manufacturing']"
Materials Technology,"['Materials, Construction and Manufacturing']"
Earth Science,['Natural Science']
"English, Linguistics","['Humanities', 'Languages']"
Meteorology,['Natural Science']
Meteorology,['Natural Science']
History,['Humanities']
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Wood Technology,"['Materials, Construction and Manufacturing']"
,['']
Mechanical Engineering,['Technology']
Computer Science,['Computer Science and Engineering']
"English, Humanities, Languages, Linguistics","['Humanities', 'Languages']"
Economics,['Business Administration and Economics']
Earth Science,['Natural Science']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
"Global Health, Health and Medical Care, Public Health",['Health and Medical Care']
Design,"['Arts, Design and Media']"
Design,"['Arts, Design and Media']"
Crafts,"['Arts, Design and Media']"
Crafts,"['Arts, Design and Media']"
Design,"['Arts, Design and Media']"
Design,"['Arts, Design and Media']"
"Arts, Design and Media, Crafts, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
"Arts, Design and Media, Crafts, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
"Arts, Design and Media, Crafts, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
Design,"['Arts, Design and Media']"
Materials Technology,"['Materials, Construction and Manufacturing']"
Molecular Biology,['Natural Science']
Economics,['Business Administration and Economics']
Economics,['Business Administration and Economics']
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Public Health,['Health and Medical Care']
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
"English, Languages",['Languages']
"Cultural Studies, Global Health, Global Studies, History of Science and Ideas, Social Anthropology, Sociology","['Health and Medical Care', 'Humanities', 'Social Science and Behavioural Science']"
History,['Humanities']
History,['Humanities']
Earth Science,['Natural Science']
,['']
Computer Science,['Computer Science and Engineering']
"Computer Science and Engineering, Computer Technology","['Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
"Computer Science, Computer Technology, Computer Technology","['Technology', 'Computer Science and Engineering']"
Electrical Engineering,['Technology']
Medical Technologies,['Health and Medical Care']
Technology,['Technology']
Logic,['Mathematics']
Logic,['Mathematics']
Computer Science,['Computer Science and Engineering']
Mathematics,['Mathematics']
"Computational Science, Engineering Physics, Physics","['Technology', 'Computer Science and Engineering', 'Natural Science']"
"Mechanical Engineering, Technology",['Technology']
Meteorology,['Natural Science']
"Law and Legal Studies, Natural Science","['Law and Legal Studies', 'Natural Science']"
"Law and Legal Studies, Natural Science","['Law and Legal Studies', 'Natural Science']"
Arabic,['Languages']
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Arabic, Languages",['Languages']
History and Theory of Arts,"['Arts, Design and Media', 'Humanities']"
"Japanese, Languages",['Languages']
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Sociology,['Social Science and Behavioural Science']
Sociology,['Social Science and Behavioural Science']
"Biology, Biotechnology, Gene Technology, Molecular Biology, Natural Science","['Technology', 'Natural Science']"
"Bioinformatics, Molecular Biology","['Natural Science', 'Computer Science and Engineering']"
Biology,['Natural Science']
"Biology, Molecular Biology",['Natural Science']
"Biology, Molecular Biology",['Natural Science']
"Biology, Biotechnology, Gene Technology, Molecular Biology","['Technology', 'Natural Science']"
"Bioinformatics, Biotechnology","['Technology', 'Natural Science', 'Computer Science and Engineering']"
"Biochemistry, Biomedical Laboratory Science, Biomedicine, Biotechnology, Molecular Biology","['Health and Medical Care', 'Technology', 'Natural Science']"
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Technology,['Technology']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Biomedicine, Biomedicine, Medical Biology, Medicine","['Health and Medical Care', 'Natural Science']"
"Economics, Finance",['Business Administration and Economics']
English,['Languages']
Film Studies,"['Arts, Design and Media', 'Humanities']"
Medical Technologies,['Health and Medical Care']
Computer Science,['Computer Science and Engineering']
English,['Languages']
Sociology,['Social Science and Behavioural Science']
"Health and Medical Care, Natural Science, Social Science and Behavioural Science, Social Work and Welfare","['Health and Medical Care', 'Social Work and Welfare', 'Natural Science', 'Social Science and Behavioural Science']"
Electrical Engineering,['Technology']
Electrical Engineering,['Technology']
"Mathematics , Natural Science","['Natural Science', 'Mathematics']"
Mathematical Statistics,['Mathematics']
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
Music,"['Arts, Design and Media']"
,['']
,['']
"History and Theory of Arts, Musicology","['Arts, Design and Media', 'Humanities']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
"Arts, Design and Media, Music","['Arts, Design and Media', 'Arts', 'Design and Media']"
"Arts, Design and Media, Music","['Arts, Design and Media', 'Arts', 'Design and Media']"
"Arts, Design and Media, Music","['Arts, Design and Media', 'Arts', 'Design and Media']"
Electrical Engineering,['Technology']
Technology,['Technology']
English,['Languages']
Political Science,['Social Science and Behavioural Science']
"Cognitive Science, Computer Linguistics , Computer Science, Information Technology","['Technology', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Economics,['Business Administration and Economics']
"Global Studies, Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
Electrical Engineering,['Technology']
"Computer Science and Engineering, Information Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Science and Engineering, Computer Technology, Information Systems","['Technology', 'Computer Science and Engineering']"
"Computer Science and Engineering, Media Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Biology, Molecular Biology",['Natural Science']
Chemistry,['Natural Science']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
"Aesthetics, Design, Human-Computer Interaction, Media and Communications Studies, Media Production, Media Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering', 'Journalism, Communication and Information']"
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
"Cultural Studies, Human Rights, Peace and Development Studies, Social Science and Behavioural Science","['Humanities', 'Social Science and Behavioural Science']"
Photography,"['Arts, Design and Media']"
Biomedical Laboratory Science,['Health and Medical Care']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Mathematics,['Mathematics']
Public Administration,['Social Science and Behavioural Science']
"Analytical Chemistry, Biology, Chemical Engineering , Chemistry, Environmental Science, Care and Protection, Toxicology","['Natural Science', 'Technology', 'Care and Protection', 'Environmental Science', 'Health and Medical Care']"
Biology,['Natural Science']
Biology,['Natural Science']
"English, Languages",['Languages']
"English, Languages",['Languages']
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Physics,['Natural Science']
"Chemical Engineering , Chemistry","['Technology', 'Natural Science']"
Physics,['Natural Science']
Political Science,['Social Science and Behavioural Science']
Computational Science,['Computer Science and Engineering']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Meteorology,['Natural Science']
Nursing Science and Nursing,['Health and Medical Care']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Oceanography,['Natural Science']
Earth Science,['Natural Science']
Nursing Science and Nursing,['Health and Medical Care']
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
Computer Science and Engineering,['Computer Science and Engineering']
Computer Science and Engineering,['Computer Science and Engineering']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Tourism and Recreation Studies,['Social Science and Behavioural Science']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Automatic Control, Electrical Engineering, Electronics",['Technology']
Mathematics,['Mathematics']
"Mathematics , Natural Science","['Natural Science', 'Mathematics']"
Mathematics,['Mathematics']
Mathematics,['Mathematics']
English,['Languages']
"Mathematics , Natural Science","['Natural Science', 'Mathematics']"
Mathematics,['Mathematics']
Earth Science,['Natural Science']
Bedrock Geology,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemical Engineering,['Technology']
Business Administration,['Business Administration and Economics']
Political Science,['Social Science and Behavioural Science']
Business Administration,['Business Administration and Economics']
"Business Administration, International Business Management, Leadership, Organisation and Management","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
"Business Administration, Leadership, Organisation and Management","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
"Education, Human Resources, Work Science","['Education/Educational Sciences/Didactics', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Education, Human Resources, Work Science","['Education/Educational Sciences/Didactics', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Chemistry,['Natural Science']
Religious Studies,['Religious Studies']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Children and Youth Education and Care, Education, Education/Educational Sciences/Didactics, Educational Sciences/Didactics, Environmental Science, Care and Protection","['Education/Educational Sciences/Didactics', 'Environmental Science', 'Social Work and Welfare', 'Care and Protection']"
Natural Science,['Natural Science']
Natural Science,['Natural Science']
"Education, Educational Sciences/Didactics, Tourism and Recreation Studies","['Education/Educational Sciences/Didactics', 'Social Science and Behavioural Science']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Landscape Architecture, Physical Planning, Public Health","['Materials, Construction and Manufacturing', 'Arts, Design and Media', 'Health and Medical Care']"
"Landscape Architecture, Physical Planning, Public Health","['Materials, Construction and Manufacturing', 'Arts, Design and Media', 'Health and Medical Care']"
"Education, Educational Sciences/Didactics",['Education/Educational Sciences/Didactics']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Computer Science,['Computer Science and Engineering']
Religious Studies,['Religious Studies']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Religious Studies,['Religious Studies']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Development Studies, Global Studies, Peace and Development Studies",['Social Science and Behavioural Science']
"Development Studies, Global Studies, Peace and Development Studies",['Social Science and Behavioural Science']
"Development Studies, Global Studies, Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Development Studies, Global Studies, Peace and Development Studies",['Social Science and Behavioural Science']
"Development Studies, Global Studies, Peace and Development Studies",['Social Science and Behavioural Science']
,['']
,['']
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Area Studies, Social Anthropology","['Humanities', 'Social Science and Behavioural Science']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Theatre History and Theory,"['Arts, Design and Media', 'Humanities']"
Theatre History and Theory,"['Arts, Design and Media', 'Humanities']"
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
Nursing Science and Nursing,['Health and Medical Care']
Business Administration,['Business Administration and Economics']
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
Earth Science,['Natural Science']
"Bioinformatics, Pharmacology and Pharmacy","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
Chemical Engineering,['Technology']
Nursing Science and Nursing,['Health and Medical Care']
,['']
Materials Technology,"['Materials, Construction and Manufacturing']"
Humanities,['Humanities']
Philosophy and Logic,['Humanities']
Philosophy and Logic,['Humanities']
Philosophy and Logic,['Humanities']
Philosophy and Logic,['Humanities']
"Musicology, Philosophy and Logic","['Arts, Design and Media', 'Humanities']"
Philosophy and Logic,['Humanities']
Philosophy and Logic,['Humanities']
English,['Languages']
"Environmental Techniques and Energy Technology, Environmental Techniques and Energy Technology","['Technology', 'Natural Science']"
,['']
Sport Science,['Health and Medical Care']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Meteorology,['Natural Science']
Oceanography,['Natural Science']
Marine Geology,['Natural Science']
Radiation Physics,"['Health and Medical Care', 'Natural Science']"
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
Physics,['Natural Science']
"Computer Science and Engineering, Natural Science, Physics","['Natural Science', 'Computer Science and Engineering']"
"Computer Science and Engineering, Natural Science, Physics","['Natural Science', 'Computer Science and Engineering']"
Physics,['Natural Science']
Technology,['Technology']
Medicine,['Health and Medical Care']
Business Administration,['Business Administration and Economics']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
English,['Languages']
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Information Systems,['Computer Science and Engineering']
Work Science,['Social Science and Behavioural Science']
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Agriculture, Horticulture, Forestry and Fishery, Biology, Biotechnology, Cell Biology, Molecular Biology, Natural Science","['Natural Science', 'Agriculture', 'Technology', 'Forestry and Fishery', 'Horticulture']"
"Agriculture, Horticulture, Forestry and Fishery, Biology, Biotechnology, Cell Biology, Molecular Biology, Natural Science","['Natural Science', 'Agriculture', 'Technology', 'Forestry and Fishery', 'Horticulture']"
"Agriculture, Horticulture, Forestry and Fishery, Biology, Biotechnology, Cell Biology, Molecular Biology, Natural Science","['Natural Science', 'Agriculture', 'Technology', 'Forestry and Fishery', 'Horticulture']"
"Biology, Molecular Biology",['Natural Science']
"Biology, Molecular Biology",['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Earth Science,['Natural Science']
"Political Science, Public Administration",['Social Science and Behavioural Science']
"Global Studies, Peace and Development Studies, Social Science and Behavioural Science",['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
European Studies,"['Humanities', 'Social Science and Behavioural Science']"
Technology,['Technology']
Human Geography and Geography,"['Natural Science', 'Social Science and Behavioural Science']"
Political Science,['Social Science and Behavioural Science']
Psychology,"['Health and Medical Care', 'Social Science and Behavioural Science']"
"Area Studies, European Studies, Social Science and Behavioural Science","['Humanities', 'Social Science and Behavioural Science']"
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
"Human Rights, Political Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Human Rights, Political Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Political Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Political Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
Religious Studies,['Religious Studies']
History,['Humanities']
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Media and Communications Studies,"['Journalism, Communication and Information']"
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
Chemistry,['Natural Science']
Chemical Engineering,['Technology']
Materials Technology,"['Materials, Construction and Manufacturing']"
Chemical Engineering,['Technology']
Chemical Engineering,['Technology']
Sociology,['Social Science and Behavioural Science']
Sociology,['Social Science and Behavioural Science']
History,['Humanities']
Design,"['Arts, Design and Media']"
Portuguese,['Languages']
Portuguese,['Languages']
"Languages, Portuguese",['Languages']
Portuguese,['Languages']
Portuguese,['Languages']
Portuguese,['Languages']
"Languages, Portuguese",['Languages']
Portuguese,['Languages']
Portuguese,['Languages']
Portuguese,['Languages']
Portuguese,['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
Portuguese,['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
"Languages, Portuguese",['Languages']
English,['Languages']
English,['Languages']
"Social Anthropology, Social Science and Behavioural Science",['Social Science and Behavioural Science']
French,['Languages']
French,['Languages']
Medical Technologies,['Health and Medical Care']
Materials Technology,"['Materials, Construction and Manufacturing']"
Electrical Engineering,['Technology']
"Development Studies, Educational Sciences/Didactics, Global Health","['Education/Educational Sciences/Didactics', 'Social Science and Behavioural Science', 'Health and Medical Care']"
European Studies,"['Humanities', 'Social Science and Behavioural Science']"
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Practical Philosophy,['Humanities']
Mathematics,['Mathematics']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Linguistics,['Humanities']
Religious Studies,['Religious Studies']
Computer Science,['Computer Science and Engineering']
"English, Languages",['Languages']
Public Health,['Health and Medical Care']
Computer Science,['Computer Science and Engineering']
"Biology, Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science', 'Natural Science']"
"Computer Science, Computer Technology, Law and Legal Studies","['Law and Legal Studies', 'Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Law and Legal Studies","['Law and Legal Studies', 'Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Law and Legal Studies","['Law and Legal Studies', 'Technology', 'Computer Science and Engineering']"
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Mathematical Statistics,['Mathematics']
"Mathematics , Natural Science","['Natural Science', 'Mathematics']"
Mathematical Statistics,['Mathematics']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
"Computer Science and Engineering, Game development",['Computer Science and Engineering']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
"Arts, Design and Media, Materials, Construction and Manufacturing, Technology","['Arts', 'Technology', 'Design and Media', 'Materials', 'Construction and Manufacturing']"
Mechanical Engineering,['Technology']
"Business Administration, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery', 'Business Administration and Economics']"
"Product Development, Project Management, Technology","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Business Administration, Economics",['Business Administration and Economics']
"Automation Technology, Materials, Construction and Manufacturing, Mechanical Engineering, Project Management, Technology","['Technology', 'Business Administration and Economics', 'Health and Medical Care', 'Materials', 'Construction and Manufacturing', 'Social Science and Behavioural Science']"
Technology,['Technology']
"Industrial Economics, Organisation and Management, Mechanical Engineering","['Organisation and Management', 'Industrial Economics', 'Technology']"
"Languages, Spanish",['Languages']
"French, Languages",['Languages']
German,['Languages']
Spanish,['Languages']
Information Technology,"['Technology', 'Computer Science and Engineering']"
English,['Languages']
Sociology,['Social Science and Behavioural Science']
Sociology,['Social Science and Behavioural Science']
Information Systems,['Computer Science and Engineering']
"Humanities, Media Technology","['Arts, Design and Media', 'Humanities', 'Technology']"
"Humanities, Media Technology","['Arts, Design and Media', 'Humanities', 'Technology']"
Computer Science and Engineering,['Computer Science and Engineering']
Computer Science and Engineering,['Computer Science and Engineering']
"Computer Science and Engineering, Technology","['Technology', 'Computer Science and Engineering']"
Computer Technology,"['Technology', 'Computer Science and Engineering']"
"Computer Science and Engineering, Statistics","['Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
Computer Science,['Computer Science and Engineering']
,['']
Biology,['Natural Science']
Biology,['Natural Science']
"Agricultural Science, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery']"
Soil Science,"['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Soil Science,"['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
"Agricultural Science, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery']"
"Agricultural Science, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery']"
Biology,['Natural Science']
Molecular Biology,['Natural Science']
Design,"['Arts, Design and Media']"
"Area Studies, European Studies, Social Science and Behavioural Science","['Humanities', 'Social Science and Behavioural Science']"
Physics,['Natural Science']
Molecular Biology,['Natural Science']
Molecular Biology,['Natural Science']
Molecular Biology,['Natural Science']
"Business Administration, Leadership, Organisation and Management","['Organisation and Management', 'Leadership', 'Business Administration and Economics']"
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
Biomedicine,"['Health and Medical Care', 'Natural Science']"
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Materials Technology,"['Materials, Construction and Manufacturing']"
Materials Technology,"['Materials, Construction and Manufacturing']"
Biology,['Natural Science']
Biology,['Natural Science']
Media and Communications Studies,"['Journalism, Communication and Information']"
Food Science,"['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science', 'Materials, Construction and Manufacturing']"
Prosthetics and orthotics,['Prosthetics and orthotics']
"Biotechnology, Biotechnology, Chemistry, Medicinal Chemistry, Molecular Biology, Organic Chemistry, Protein Chemistry","['Technology', 'Natural Science']"
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Information Technology,"['Technology', 'Computer Science and Engineering']"
Media Technology,"['Arts, Design and Media', 'Technology']"
"English, Languages",['Languages']
"English, Languages",['Languages']
